COM CODE,NUMBER,time
21015,1403 PHY F111,M W 2
21015,1403 PHY F111,W 1 F 2
21015,1404 PHY F111,M W 2
21015,1404 PHY F111,W 1 F 2
21015,1405 PHY F111,M W 2
21015,1405 PHY F111,W 1 F 2
21015,1407 PHY F111,T TH 2
21015,1407 PHY F111,TH 1 S 2
21015,1408 PHY F111,T TH 2
21015,1408 PHY F111,TH 1 S 2
21015,1409 PHY F111,T TH 2
21015,1409 PHY F111,TH 1 S 2
21015,1410 PHY F111,T TH 2
21015,1410 PHY F111,TH 1 S 2
21126,1101 PHY F211,M W F 7
21126,1505 PHY F211,T 1
21127,1102 PHY F212,M W 5
21127,1702 PHY F212,F 5 S 1
21127,1506 PHY F212,M W 5
21127,1703 PHY F212,F 5 S 7
21127,1507 PHY F212,M W 5
21127,1704 PHY F212,F 5 S 1
21127,1508 PHY F212,M W 5
21127,1705 PHY F212,F 5 S 1
21127,1509 PHY F212,T TH 5
21127,1706 PHY F212,S 5 M 1
21127,1510 PHY F212,T TH 5
21127,1707 PHY F212,S 5 M 1
21127,1511 PHY F212,T TH 5
21127,1708 PHY F212,S 5 M 1
21127,1512 PHY F212,T TH 5
21127,1709 PHY F212,S 5 M 1
21128,1103 PHY F213,T TH S 3
21128,1513 PHY F213,T 10
21129,1104 PHY F214,T 7 8 9
21129,1514 PHY F214,TH 7 8 9
21493,1182 PHY F215,M W F 9
21486,1179 PHY F311,T TH S 2
21486,1594 PHY F311,T 8
21487,1180 PHY F312,M W F 10
21487,1595 PHY F312,TH 10
21488,1181 PHY F313,M W F 5
21488,1596 PHY F313,T 7
21494,1183 PHY F315,M W F 4
21498,1184 PHY F415,M W F 7
21504,1185 PHY F420,T TH S 2
21505,1186 PHY F421,M W F 11
21505,1597 PHY F421,TH 11
21509,1187 PHY F426,M W F 8
22327,3749 PHY F428,M W F 4
22297,1309 SAN G511,M W F 5
22298,1310 SAN G512,M W F 7
22299,1311 SAN G513,M W F 3
20333,1022 SS G653,T 7 TH 7 8
